txn_id,from,to,amount,timestamp,ring_id,pattern
TXN_0309,SMURF2_M6,SMURF2_COL,13697.14,2026-08-05T13:03:28.290022,smurf_2,smurfing
TXN_0181,ACC_027,ACC_019,3354.56,2026-08-05T13:22:00.575167,,
TXN_0307,SMURF2_M5,SMURF2_COL,13736.23,2026-08-05T14:09:21.931623,smurf_2,smurfing
TXN_0311,SMURF2_M7,SMURF2_COL,12479.13,2026-08-05T15:24:34.876788,smurf_2,smurfing
TXN_0258,ACC_024,ACC_022,1761.93,2026-08-05T16:32:38.805691,,
TXN_0094,ACC_013,ACC_021,534.75,2026-08-05T18:15:47.383494,,
TXN_0299,SMURF2_M1,SMURF2_COL,13770.58,2026-08-05T19:22:06.424914,smurf_2,smurfing
TXN_0297,SMURF2_M0,SMURF2_COL,12954.39,2026-08-05T20:31:47.895744,smurf_2,smurfing
TXN_0303,SMURF2_M3,SMURF2_COL,13419.53,2026-08-06T01:20:50.881435,smurf_2,smurfing
TXN_0023,ACC_024,ACC_029,2718.92,2026-08-06T01:21:41.440880,,
TXN_0002,ACC_035,ACC_006,1853.38,2026-08-06T02:19:19.438376,,
TXN_0313,SMURF2_M8,SMURF2_COL,13667.43,2026-08-06T02:39:59.040764,smurf_2,smurfing
TXN_0203,ACC_016,ACC_029,15790.65,2026-08-06T03:40:39.100364,,
TXN_0003,ACC_002,ACC_036,14048.04,2026-08-06T05:14:40.019718,,
TXN_0004,ACC_001,ACC_011,2154.79,2026-08-06T06:50:31.182714,,
TXN_0231,ACC_037,ACC_009,9766.58,2026-08-06T08:31:37.343500,,
TXN_0037,ACC_034,ACC_021,6472.41,2026-08-06T09:47:47.689589,,
TXN_0028,ACC_004,ACC_007,369.72,2026-08-06T09:53:16.101954,,
TXN_0090,ACC_018,ACC_036,228.42,2026-08-06T11:23:51.807768,,
TXN_0079,ACC_002,ACC_016,758.21,2026-08-06T11:35:31.618229,,
TXN_0133,ACC_025,ACC_040,2112.78,2026-08-06T12:19:57.673448,,
TXN_0104,ACC_027,ACC_029,2130.24,2026-08-06T13:37:51.463680,,
TXN_0026,ACC_035,ACC_009,18000.51,2026-08-06T13:49:19.058873,,
TXN_0232,ACC_012,ACC_032,1649.69,2026-08-06T18:10:56.638227,,
TXN_0011,ACC_004,ACC_015,16685.78,2026-08-06T20:00:17.963056,,
TXN_0254,ACC_019,ACC_032,17328.44,2026-08-07T00:12:48.391160,,
TXN_0221,ACC_020,ACC_033,16861.9,2026-08-07T01:44:56.830970,,
TXN_0195,ACC_005,ACC_022,14532.45,2026-08-07T03:26:36.477105,,
TXN_0098,ACC_019,ACC_031,1540.4,2026-08-07T03:55:49.655854,,
TXN_0142,ACC_035,ACC_024,1686.39,2026-08-07T05:18:19.721235,,
TXN_0087,ACC_038,ACC_018,1102.45,2026-08-07T07:23:56.708152,,
TXN_0025,ACC_005,ACC_003,2606.98,2026-08-07T08:00:08.960464,,
TXN_0161,ACC_005,ACC_006,1101.91,2026-08-07T09:48:06.858578,,
TXN_0222,ACC_013,ACC_019,16274.31,2026-08-07T12:53:07.394488,,
TXN_0177,ACC_015,ACC_026,2956.45,2026-08-07T12:59:05.906251,,
TXN_0059,ACC_012,ACC_040,1793.49,2026-08-07T14:11:50.491926,,
TXN_0093,ACC_028,ACC_036,14948.53,2026-08-07T16:04:15.242272,,
TXN_0032,ACC_001,ACC_025,16329.2,2026-08-07T16:29:01.706912,,
TXN_0096,ACC_019,ACC_015,1210.47,2026-08-07T17:38:09.553363,,
TXN_0155,ACC_015,ACC_022,2368.23,2026-08-07T19:21:47.511130,,
TXN_0164,ACC_027,ACC_022,2516.77,2026-08-07T21:01:29.762781,,
TXN_0183,ACC_006,ACC_026,2637.47,2026-08-08T03:54:06.374627,,
TXN_0249,ACC_026,ACC_009,2329.86,2026-08-08T04:01:47.094082,,
TXN_0225,ACC_039,ACC_012,1727.33,2026-08-08T04:22:01.167875,,
TXN_0264,RING2_0,RING2_1,95000.0,2026-08-08T05:15:54.861999,circular_2,circular
TXN_0191,ACC_003,ACC_029,2745.34,2026-08-08T05:27:52.506585,,
TXN_0223,ACC_028,ACC_026,18208.84,2026-08-08T07:21:29.066184,,
TXN_0265,RING2_1,RING2_2,92150.0,2026-08-08T08:15:54.861999,circular_2,circular
TXN_0226,ACC_029,ACC_039,5832.96,2026-08-08T10:11:46.333426,,
TXN_0266,RING2_2,RING2_3,89385.5,2026-08-08T11:15:54.861999,circular_2,circular
TXN_0267,RING2_3,RING2_0,86703.93,2026-08-08T14:15:54.861999,circular_2,circular
TXN_0112,ACC_027,ACC_022,1098.96,2026-08-08T14:52:09.172630,,
TXN_0056,ACC_003,ACC_028,204.74,2026-08-08T17:14:49.175681,,
TXN_0218,ACC_007,ACC_038,2258.52,2026-08-08T17:41:01.872376,,
TXN_0121,ACC_009,ACC_005,16430.11,2026-08-08T22:12:08.424965,,
TXN_0199,ACC_024,ACC_002,1215.27,2026-08-08T22:37:15.063349,,
TXN_0217,ACC_025,ACC_024,910.22,2026-08-08T23:22:15.747849,,
TXN_0047,ACC_003,ACC_023,788.21,2026-08-08T23:41:28.450699,,
TXN_0131,ACC_002,ACC_003,3954.03,2026-08-09T00:24:48.903637,,
TXN_0184,ACC_033,ACC_008,6296.36,2026-08-09T07:57:05.856460,,
TXN_0229,ACC_029,ACC_003,7011.92,2026-08-09T13:18:39.975433,,
TXN_0230,ACC_003,ACC_039,10648.68,2026-08-09T13:48:31.572261,,
TXN_0046,ACC_038,ACC_036,5166.57,2026-08-09T14:10:42.513519,,
TXN_0013,ACC_036,ACC_035,12937.96,2026-08-09T14:22:55.294692,,
TXN_0216,ACC_024,ACC_005,2869.53,2026-08-09T16:04:18.923110,,
TXN_0175,ACC_006,ACC_018,10208.25,2026-08-09T21:55:20.132620,,
TXN_0070,ACC_010,ACC_014,9929.19,2026-08-09T22:30:51.261611,,
TXN_0119,ACC_010,ACC_032,7961.65,2026-08-10T04:59:13.641671,,
TXN_0126,ACC_029,ACC_007,1672.66,2026-08-10T06:20:38.314271,,
TXN_0027,ACC_027,ACC_013,14202.71,2026-08-10T08:41:31.984926,,
TXN_0036,ACC_037,ACC_016,1820.97,2026-08-10T09:17:50.972180,,
TXN_0035,ACC_012,ACC_005,1866.1,2026-08-10T10:06:04.265704,,
TXN_0211,ACC_019,ACC_031,5359.48,2026-08-10T10:13:16.217927,,
TXN_0091,ACC_036,ACC_016,13980.35,2026-08-10T10:17:37.720378,,
TXN_0105,ACC_030,ACC_005,2124.68,2026-08-10T11:20:22.329620,,
TXN_0182,ACC_030,ACC_024,446.76,2026-08-10T13:11:30.354610,,
TXN_0158,ACC_008,ACC_005,1533.49,2026-08-10T17:07:40.532837,,
TXN_0058,ACC_021,ACC_026,2152.18,2026-08-10T18:28:25.249149,,
TXN_0123,ACC_031,ACC_023,15968.84,2026-08-10T21:12:58.835902,,
TXN_0076,ACC_030,ACC_012,340.8,2026-08-10T21:16:06.502663,,
TXN_0143,ACC_031,ACC_019,2290.37,2026-08-10T21:50:46.336717,,
TXN_0163,ACC_007,ACC_008,2587.82,2026-08-10T22:04:09.966459,,
TXN_0204,ACC_031,ACC_013,19101.21,2026-08-10T23:26:57.230589,,
TXN_0130,ACC_028,ACC_007,2329.04,2026-08-11T00:16:12.064600,,
TXN_0239,ACC_037,ACC_005,550.91,2026-08-11T03:06:35.141723,,
TXN_0162,ACC_036,ACC_021,13155.66,2026-08-11T03:12:10.128438,,
TXN_0065,ACC_034,ACC_030,340.61,2026-08-11T09:17:26.730522,,
TXN_0092,ACC_019,ACC_015,7136.19,2026-08-11T11:15:55.485656,,
TXN_0073,ACC_027,ACC_035,2293.04,2026-08-11T12:37:05.175004,,
TXN_0159,ACC_040,ACC_003,18448.78,2026-08-11T13:59:24.214316,,
TXN_0086,ACC_034,ACC_018,18633.5,2026-08-11T14:06:50.440557,,
TXN_0088,ACC_030,ACC_037,1908.93,2026-08-11T16:55:50.944266,,
TXN_0243,ACC_036,ACC_018,550.48,2026-08-11T17:20:38.855730,,
TXN_0268,SMURF1_SRC,SMURF1_M0,13424.53,2026-08-11T19:45:24.184000,smurf_1,smurfing
TXN_0270,SMURF1_SRC,SMURF1_M1,13526.13,2026-08-11T20:05:24.184000,smurf_1,smurfing
TXN_0272,SMURF1_SRC,SMURF1_M2,13857.08,2026-08-11T20:25:24.184000,smurf_1,smurfing
TXN_0274,SMURF1_SRC,SMURF1_M3,12809.96,2026-08-11T20:45:24.184000,smurf_1,smurfing
TXN_0276,SMURF1_SRC,SMURF1_M4,13790.99,2026-08-11T21:05:24.184000,smurf_1,smurfing
TXN_0278,SMURF1_SRC,SMURF1_M5,14041.42,2026-08-11T21:25:24.184000,smurf_1,smurfing
TXN_0280,SMURF1_SRC,SMURF1_M6,13994.34,2026-08-11T21:45:24.184000,smurf_1,smurfing
TXN_0282,SMURF1_SRC,SMURF1_M7,13082.5,2026-08-11T22:05:24.184000,smurf_1,smurfing
TXN_0284,SMURF1_SRC,SMURF1_M8,14657.14,2026-08-11T22:25:24.184000,smurf_1,smurfing
TXN_0286,SMURF1_SRC,SMURF1_M9,13455.81,2026-08-11T22:45:24.184000,smurf_1,smurfing
TXN_0288,SMURF1_SRC,SMURF1_M10,13673.35,2026-08-11T23:05:24.184000,smurf_1,smurfing
TXN_0084,ACC_003,ACC_023,1691.69,2026-08-11T23:11:37.630298,,
TXN_0290,SMURF1_SRC,SMURF1_M11,13843.41,2026-08-11T23:25:24.184000,smurf_1,smurfing
TXN_0283,SMURF1_M7,SMURF1_COL,13017.08,2026-08-11T23:41:23.607113,smurf_1,smurfing
TXN_0292,SMURF1_SRC,SMURF1_M12,13060.69,2026-08-11T23:45:24.184000,smurf_1,smurfing
TXN_0285,SMURF1_M8,SMURF1_COL,14583.85,2026-08-11T23:46:59.499937,smurf_1,smurfing
TXN_0294,SMURF1_SRC,SMURF1_M13,14116.88,2026-08-12T00:05:24.184000,smurf_1,smurfing
TXN_0291,SMURF1_M11,SMURF1_COL,13774.19,2026-08-12T01:36:24.223963,smurf_1,smurfing
TXN_0279,SMURF1_M5,SMURF1_COL,13971.21,2026-08-12T01:39:47.209023,smurf_1,smurfing
TXN_0269,SMURF1_M0,SMURF1_COL,13357.41,2026-08-12T03:45:19.858195,smurf_1,smurfing
TXN_0160,ACC_004,ACC_031,2572.44,2026-08-12T04:55:41.960595,,
TXN_0293,SMURF1_M12,SMURF1_COL,12995.38,2026-08-12T06:55:57.572155,smurf_1,smurfing
TXN_0295,SMURF1_M13,SMURF1_COL,14046.3,2026-08-12T07:03:04.861754,smurf_1,smurfing
TXN_0057,ACC_022,ACC_040,17416.26,2026-08-12T07:35:42.618236,,
TXN_0110,ACC_018,ACC_037,15856.57,2026-08-12T08:10:16.613630,,
TXN_0271,SMURF1_M1,SMURF1_COL,13458.5,2026-08-12T08:10:49.410502,smurf_1,smurfing
TXN_0176,ACC_033,ACC_008,4885.13,2026-08-12T08:58:36.679466,,
TXN_0277,SMURF1_M4,SMURF1_COL,13722.03,2026-08-12T09:03:54.376677,smurf_1,smurfing
TXN_0273,SMURF1_M2,SMURF1_COL,13787.79,2026-08-12T10:29:46.369742,smurf_1,smurfing
TXN_0287,SMURF1_M9,SMURF1_COL,13388.53,2026-08-12T12:52:34.401847,smurf_1,smurfing
TXN_0281,SMURF1_M6,SMURF1_COL,13924.37,2026-08-12T14:44:20.015347,smurf_1,smurfing
TXN_0193,ACC_012,ACC_003,10441.89,2026-08-12T14:45:57.169978,,
TXN_0275,SMURF1_M3,SMURF1_COL,12745.91,2026-08-12T16:07:51.819618,smurf_1,smurfing
TXN_0289,SMURF1_M10,SMURF1_COL,13604.98,2026-08-12T17:34:47.816973,smurf_1,smurfing
TXN_0103,ACC_014,ACC_017,2049.2,2026-08-12T17:57:39.148351,,
TXN_0238,ACC_040,ACC_006,9768.72,2026-08-12T19:24:38.013276,,
TXN_0326,FAN2_S0,FAN2_COL,14951.07,2026-08-12T23:29:51.476049,fan_2,fan_in_out
TXN_0327,FAN2_S1,FAN2_COL,14173.83,2026-08-12T23:37:51.476049,fan_2,fan_in_out
TXN_0328,FAN2_S2,FAN2_COL,14772.49,2026-08-12T23:45:51.476049,fan_2,fan_in_out
TXN_0329,FAN2_S3,FAN2_COL,11493.95,2026-08-12T23:53:51.476049,fan_2,fan_in_out
TXN_0330,FAN2_S4,FAN2_COL,13514.49,2026-08-13T00:01:51.476049,fan_2,fan_in_out
TXN_0331,FAN2_S5,FAN2_COL,15217.21,2026-08-13T00:09:51.476049,fan_2,fan_in_out
TXN_0332,FAN2_S6,FAN2_COL,11763.05,2026-08-13T00:17:51.476049,fan_2,fan_in_out
TXN_0015,ACC_028,ACC_039,9487.53,2026-08-13T01:58:46.239574,,
TXN_0117,ACC_002,ACC_039,15066.31,2026-08-13T02:52:36.816048,,
TXN_0333,FAN2_COL,FAN2_OUT,93968.36,2026-08-13T04:34:50.507286,fan_2,fan_in_out
TXN_0166,ACC_006,ACC_028,470.38,2026-08-13T06:29:09.645849,,
TXN_0045,ACC_028,ACC_036,227.08,2026-08-13T07:00:28.030453,,
TXN_0253,ACC_006,ACC_026,1615.24,2026-08-13T07:10:23.619472,,
TXN_0197,ACC_026,ACC_009,18946.04,2026-08-13T09:08:26.021928,,
TXN_0151,ACC_029,ACC_016,4689.03,2026-08-13T09:52:44.453618,,
TXN_0006,ACC_030,ACC_035,549.51,2026-08-13T10:08:03.084374,,
TXN_0180,ACC_003,ACC_028,18659.76,2026-08-13T15:56:39.153669,,
TXN_0201,ACC_035,ACC_034,305.69,2026-08-13T16:42:51.381259,,
TXN_0033,ACC_036,ACC_032,633.43,2026-08-13T16:55:10.385056,,
TXN_0169,ACC_007,ACC_023,9248.54,2026-08-13T20:43:10.974327,,
TXN_0009,ACC_024,ACC_023,786.62,2026-08-13T23:06:33.675886,,
TXN_0149,ACC_030,ACC_024,15633.38,2026-08-14T01:27:28.489572,,
TXN_0145,ACC_017,ACC_035,9265.96,2026-08-14T02:21:22.685120,,
TXN_0154,ACC_009,ACC_037,774.58,2026-08-14T03:03:01.244419,,
TXN_0190,ACC_005,ACC_006,11620.15,2026-08-14T03:23:15.276396,,
TXN_0185,ACC_010,ACC_016,487.85,2026-08-14T09:51:15.320415,,
TXN_0042,ACC_008,ACC_007,5642.61,2026-08-14T10:03:24.931132,,
TXN_0068,ACC_017,ACC_016,7714.29,2026-08-14T10:28:17.583473,,
TXN_0170,ACC_036,ACC_040,1918.01,2026-08-14T10:43:16.992879,,
TXN_0005,ACC_007,ACC_006,9102.65,2026-08-14T11:38:56.394123,,
TXN_0127,ACC_010,ACC_005,19476.46,2026-08-14T11:39:44.415491,,
TXN_0100,ACC_020,ACC_006,5013.68,2026-08-14T12:33:42.754114,,
TXN_0066,ACC_034,ACC_036,19150.67,2026-08-14T14:02:21.644673,,
TXN_0008,ACC_006,ACC_015,9462.15,2026-08-14T17:08:27.355936,,
TXN_0139,ACC_019,ACC_015,1899.78,2026-08-14T17:11:43.775609,,
TXN_0246,ACC_027,ACC_040,11466.65,2026-08-14T18:46:17.517067,,
TXN_0040,ACC_005,ACC_016,5681.7,2026-08-14T19:58:45.074831,,
TXN_0135,ACC_011,ACC_005,8874.62,2026-08-14T20:12:30.673845,,
TXN_0115,ACC_027,ACC_004,9150.25,2026-08-14T21:26:44.804064,,
TXN_0198,ACC_022,ACC_009,2076.33,2026-08-14T23:45:29.744789,,
TXN_0215,ACC_001,ACC_040,1187.88,2026-08-15T00:53:52.335592,,
TXN_0261,RING1_0,RING1_1,180000.0,2026-08-15T08:18:40.509512,circular_1,circular
TXN_0114,ACC_008,ACC_026,2621.75,2026-08-15T08:28:59.091787,,
TXN_0245,ACC_002,ACC_006,13904.71,2026-08-15T10:34:35.488829,,
TXN_0262,RING1_1,RING1_2,174600.0,2026-08-15T11:18:40.509512,circular_1,circular
TXN_0263,RING1_2,RING1_0,169362.0,2026-08-15T14:18:40.509512,circular_1,circular
TXN_0007,ACC_040,ACC_024,1816.59,2026-08-15T15:49:49.269853,,
TXN_0060,ACC_038,ACC_039,10904.8,2026-08-15T16:47:03.485230,,
TXN_0024,ACC_038,ACC_036,844.32,2026-08-15T22:09:53.306876,,
TXN_0010,ACC_016,ACC_011,1494.33,2026-08-16T05:16:26.502900,,
TXN_0085,ACC_027,ACC_032,19333.39,2026-08-16T06:56:06.892469,,
TXN_0224,ACC_032,ACC_024,2788.07,2026-08-16T08:20:35.648210,,
TXN_0022,ACC_034,ACC_039,1384.79,2026-08-16T08:54:07.551003,,
TXN_0214,ACC_032,ACC_039,1700.95,2026-08-16T09:08:12.728090,,
TXN_0206,ACC_017,ACC_004,1995.3,2026-08-16T10:55:40.503969,,
TXN_0063,ACC_040,ACC_005,1475.17,2026-08-16T11:15:42.568664,,
TXN_0107,ACC_037,ACC_019,10967.87,2026-08-16T15:17:24.025220,,
TXN_0178,ACC_009,ACC_017,5039.73,2026-08-16T20:42:42.456433,,
TXN_0074,ACC_032,ACC_002,14370.85,2026-08-17T01:09:34.380856,,
TXN_0067,ACC_033,ACC_028,2525.59,2026-08-17T02:11:40.305596,,
TXN_0001,ACC_008,ACC_002,2276.34,2026-08-17T03:25:20.206693,,
TXN_0240,ACC_023,ACC_009,2658.29,2026-08-17T06:03:31.450375,,
TXN_0080,ACC_008,ACC_037,10905.58,2026-08-17T06:32:36.891645,,
TXN_0248,ACC_030,ACC_014,5442.37,2026-08-17T06:41:43.199519,,
TXN_0314,FAN1_S0,FAN1_COL,8235.47,2026-08-17T09:11:11.270209,fan_1,fan_in_out
TXN_0315,FAN1_S1,FAN1_COL,9770.91,2026-08-17T09:19:11.270209,fan_1,fan_in_out
TXN_0316,FAN1_S2,FAN1_COL,8446.91,2026-08-17T09:27:11.270209,fan_1,fan_in_out
TXN_0317,FAN1_S3,FAN1_COL,8792.55,2026-08-17T09:35:11.270209,fan_1,fan_in_out
TXN_0318,FAN1_S4,FAN1_COL,8123.2,2026-08-17T09:43:11.270209,fan_1,fan_in_out
TXN_0255,ACC_007,ACC_028,7496.04,2026-08-17T09:45:58.700153,,
TXN_0319,FAN1_S5,FAN1_COL,8924.69,2026-08-17T09:51:11.270209,fan_1,fan_in_out
TXN_0320,FAN1_S6,FAN1_COL,7927.44,2026-08-17T09:59:11.270209,fan_1,fan_in_out
TXN_0321,FAN1_S7,FAN1_COL,9138.88,2026-08-17T10:07:11.270209,fan_1,fan_in_out
TXN_0322,FAN1_S8,FAN1_COL,10558.89,2026-08-17T10:15:11.270209,fan_1,fan_in_out
TXN_0323,FAN1_S9,FAN1_COL,9706.22,2026-08-17T10:23:11.270209,fan_1,fan_in_out
TXN_0324,FAN1_S10,FAN1_COL,7694.18,2026-08-17T10:31:11.270209,fan_1,fan_in_out
TXN_0016,ACC_001,ACC_008,12128.5,2026-08-17T11:32:16.701404,,
TXN_0172,ACC_012,ACC_010,1785.7,2026-08-17T12:46:18.672405,,
TXN_0064,ACC_026,ACC_016,613.2,2026-08-17T13:34:33.860259,,
TXN_0325,FAN1_COL,FAN1_OUT,95372.95,2026-08-17T13:38:57.019505,fan_1,fan_in_out
TXN_0140,ACC_009,ACC_007,13987.79,2026-08-17T14:15:37.557688,,
TXN_0186,ACC_005,ACC_012,13675.13,2026-08-17T14:28:39.891054,,
TXN_0210,ACC_002,ACC_021,17266.0,2026-08-17T18:09:29.633027,,
TXN_0049,ACC_012,ACC_027,15521.6,2026-08-17T20:12:14.076200,,
TXN_0236,ACC_012,ACC_024,1624.52,2026-08-17T20:52:57.964522,,
TXN_0205,ACC_025,ACC_033,1676.89,2026-08-17T23:09:22.369690,,
TXN_0078,ACC_035,ACC_004,2999.74,2026-08-18T01:23:00.847427,,
TXN_0219,ACC_012,ACC_030,2946.29,2026-08-18T02:30:33.280344,,
TXN_0194,ACC_024,ACC_019,1284.77,2026-08-18T05:18:20.527471,,
TXN_0106,ACC_010,ACC_018,2514.57,2026-08-18T05:45:57.075396,,
TXN_0083,ACC_038,ACC_016,485.32,2026-08-18T06:52:51.234583,,
TXN_0188,ACC_010,ACC_029,10517.54,2026-08-18T07:32:39.236843,,
TXN_0259,ACC_033,ACC_003,5329.62,2026-08-18T09:39:45.993837,,
TXN_0237,ACC_032,ACC_002,12728.72,2026-08-18T10:17:06.131269,,
TXN_0200,ACC_013,ACC_015,5634.07,2026-08-18T20:01:09.430413,,
TXN_0234,ACC_005,ACC_029,683.44,2026-08-18T23:43:12.474210,,
TXN_0077,ACC_025,ACC_018,17142.71,2026-08-19T00:04:56.874665,,
TXN_0242,ACC_015,ACC_023,11821.26,2026-08-19T00:21:54.415145,,
TXN_0136,ACC_017,ACC_030,6386.69,2026-08-19T00:38:26.698498,,
TXN_0051,ACC_015,ACC_013,10825.15,2026-08-19T02:27:43.519933,,
TXN_0244,ACC_038,ACC_010,13616.15,2026-08-19T06:09:43.037638,,
TXN_0029,ACC_029,ACC_009,1381.27,2026-08-19T10:33:00.569421,,
TXN_0122,ACC_018,ACC_001,8075.45,2026-08-19T14:48:30.517783,,
TXN_0071,ACC_027,ACC_025,2733.55,2026-08-19T18:10:01.970789,,
TXN_0148,ACC_003,ACC_020,2988.6,2026-08-19T18:26:04.663202,,
TXN_0187,ACC_029,ACC_037,19771.04,2026-08-19T18:38:01.113650,,
TXN_0072,ACC_025,ACC_031,8979.9,2026-08-19T21:01:12.342756,,
TXN_0220,ACC_030,ACC_003,1021.64,2026-08-19T22:00:45.554518,,
TXN_0167,ACC_036,ACC_022,9983.75,2026-08-19T22:49:26.037552,,
TXN_0252,ACC_013,ACC_011,11750.32,2026-08-19T22:59:27.675628,,
TXN_0116,ACC_014,ACC_018,18770.44,2026-08-19T23:34:47.201790,,
TXN_0101,ACC_015,ACC_034,18444.57,2026-08-20T01:17:05.099379,,
TXN_0055,ACC_021,ACC_028,11694.19,2026-08-20T01:54:44.193511,,
TXN_0031,ACC_016,ACC_011,11183.09,2026-08-20T02:46:56.982471,,
TXN_0052,ACC_015,ACC_002,9773.92,2026-08-20T02:50:21.196610,,
TXN_0048,ACC_027,ACC_040,2298.54,2026-08-20T03:11:24.776467,,
TXN_0125,ACC_025,ACC_010,3629.33,2026-08-20T03:18:34.296883,,
TXN_0207,ACC_008,ACC_019,5725.31,2026-08-20T03:48:38.509448,,
TXN_0050,ACC_016,ACC_018,14921.73,2026-08-20T04:10:41.867820,,
TXN_0089,ACC_032,ACC_014,7391.99,2026-08-20T04:30:34.847302,,
TXN_0108,ACC_033,ACC_035,1582.63,2026-08-20T09:53:52.621304,,
TXN_0146,ACC_024,ACC_007,11015.11,2026-08-20T10:36:06.446910,,
